ccode,cnumber,description,
WGST,445,"Queer Theory. (3-0). Credit 3. Examines origins of theories of gender and sexual diversity and their intersections with feminist theories; considers foundational and contemporary texts that address queer theory. Prerequisites: 6 hours in Womens and Gender Studies; senior classification or approval of instructor.",
WGST,430,"Employment Discrimination Law. (3-0). Credit 3. Legal issues surrounding employment discrimination, including disparate treatment and impact; intent; affirmative action; sexual harassment; pregnancy, sex, race, religious, salary, disability, age, and ethnic discrimination; policy issues and perspectives to aid human resource specialists and managers. Prerequisite: Senior classification. Cross-listed with MGMT 430.",
WGST,474,"Studies in Women Writers. (3-0). Credit 3. A different topic each term examining women’s writing through historical period, genre, cross-cultural study and/or feminist literary theory. May be repeated for credit. Prerequisites: 3 credits of literature at the 300-level; junior or senior classification. Cross-listed with ENGL 474.",
WGST,481,"Senior Seminar. (3-0). Credit 3. Inquiry-based investigation of an issue, problem, or question, using gender or feminism as the organizing principle for analysis; methods and materials of scholarship in the field; includes opportunities for student research. Prerequisite: WGST 200 and junior or senior classification; or approval of instructor.",
WGST,484,"Internship in Womens and Gender Studies. Credit 0 to 4. Directed internship in a public or private organization to provide students with on-the-job training and applied research experience; opportunity to observe first hand issues and problems covered in womens and gender studies courses; designed to enhance and clarify the students career objectives. Prerequisites: WGST 200, junior or senior classification, and approval of instructor.",
WGST,601,"Feminist Theory. (3-0). Credit 3. Inquiry-based examination of contemporary feminist theory from an interdisciplinary perspective; topics may include intersectionality, LGBTQ+ issues, reproductive health and rights, sexuality and identity, economics and labor, legal and political issues facing women and LGBTQ+ communities, debates about priorities for feminist theory and activism, popular feminism, and feminism and ethics. Prerequisites: Graduate classification.",
VTPP,323,"Physiology of Domestic Animals. (3-0). Credit 3. Physiology essential to the understanding of life processes; for animal science, wildlife, agriculture and related fields. Prerequisite: BIOL 111 or equivalent; junior or senior classification.",
VTPP,404,"Food Toxicology and Safety. (3-0). Credit 3. Toxicity and safety of various foods and food additives, ingredients, and contaminants; occurrence, control and prevention of food transmitted diseases. Prerequisite: Junior or senior classification.",
VTPP,425,"Pharmacology. (3-0). Credit 3. Introduction to pharmacokinetics and pharmacodynamics; survey of major pharmaceutical classes; uses, mechanisms of action and adverse reactions of selected agents. Prerequisites: VTPP 423 or grade of C or better in BIOL 320; junior or senior classification or approval of instructor.",
VTPP,427,"Applied Biomedical Physiology. (3-0). Credit 3. Human physiology focused on fluid balance and acid-base balance; development of an understanding of physiology as it applies to the cardiovascular, autonomic, renal, respiratory, gastrointestinal, endocrine, reproductive system; clinical applications related to organ systems. Prerequisites: VTPP 423 or grade of D or better in BIOL 320; junior or senior classification.",
VTPP,435,"Physiology for Bioengineers II. (3-2). Credit 4. Engineering analysis of living systems; quantitative aspects of physiology and engineering applications to clinical medicine; vascular physiology, cardiac physiology, bone physiology, regenerative medicine, renal physiology, pathophysiology. Prerequisite: VTPP 434 or approval of instructor.",
VTPP,452,"Fetal and Embryo Physiology. (3-0). Credit 3. Introduction to the physiologic processes driving embryonic development and pregnancy; focus on embryo implantation, establishment of the placenta, development of the fetal circulatory systems and the molecular processes governing embryo differentiation and development; special emphasis on the major organ systems affected by pediatric disease and on the actions of teratogens. Prerequisite: BICH 410 or equivalent, or approval of instructor.",
VTPP,489,"Special Topics in...  Credit 1 to 4. Selected topics in an identified area of physiology, pharmacology, endocrinology or toxicology. May be repeated for credit. Prerequisite: Junior or senior classification.",
VTPP,612,"Physiology II. (1-0). Credit 1. Physiology of the mammalian endocrine systems required for continued exploration into human and animal endocrine physiology; molecular, cellular, and hormonal regulation, and their integration leading to diabetes and obesity. May be repeated four times for credit. Prerequisites: VTPP 610; graduate classification in the life sciences; approval of instructor.",
VTPP,612,"Physiology II. (1-0). Credit 1. Physiology of the mammalian endocrine systems required for continued exploration into human and animal endocrine physiology; molecular, cellular, and hormonal regulation, and their integration leading to diabetes and obesity. May be repeated four times for credit. Prerequisites: VTPP 610; graduate classification in the life sciences; approval of instructor.",
VTPP,619,"Food Toxicology II. (3-0). Credit 3. Public health implications of toxic factors in foods, their source, nature, occurrence and distributions; emphasis on mycotoxins including their isolation, detection, identification and toxicology; study of state-of-the-art food safety research techniques. Prerequisite: Graduate classification.",
VTPP,645,"Practice of Evaluating Human Health Risks of Chemicals. (2-0). Credit 2. Basic principles of toxicology and environmental health with real-life examples of how diverse types of information are integrated for the purpose of judging what chemical exposures may pose a risk to human health.
Prerequisites: BICH 601, BICH 602, VTPP 625, or similar; VTPP 673, VTPP 670 or similar; and VIBS 641 or approval of instructor.",
VTPP,670,"Advanced Toxicology. (3-0). Credit 3. Detailed overview of organ-specific effects of toxic substances, organ/tissue-oriented modules that will review basic anatomy and physiology, site-specific metabolism of xenobiotics, mechanisms of toxicity and experimental systems that are used to study toxic effects. Prerequisites: BICH 601, BICH 602, VTPP 625, or equivalent; VTPP 673 or equivalent; or approval of instructor.",
VTPP,948,"Didactic Elective in Veterinary Physiology and Pharmacology.  Credit 1 to 12. Elective course in physiology and pharmacology for professional students who wish to supplement required curriculum. May be repeated for credit. Prerequisite: Enrollment in the fourth year of professional curriculum.",
VTPB,221,"Great Diseases of the World. (3-0). Credit 3. Great infectious and parasitic diseases; introduction to the major diseases affecting humans and other mammals including plague, tuberculosis, AIDS and malaria. Prerequisite: Freshman or sophomore classification.",
VTPB,301,"Wildlife Diseases. (3-0). Credit 3. Basic mechanisms of diseases as they occur in wildlife populations; interplay of habitat requirements, individual physiological requirements and disease producing mechanisms of varied wildlife species. Prerequisite: Junior classification or approval of department head. Cross-listed with RWFM 309.",
VTPB,334,"Poultry Diseases. (3-2). Credit 4. Poultry sanitation and diseases. Prevention and control of environmental, nutritional, parasitic and contagious diseases. Prerequisites: BIOL 107 or BIOL 111; junior or senior classification.",
VTPB,405,"Biomedical Microbiology. (3-2). Credit 4. Fundamentals of bacteriology, mycology, virology, infectious diseases, immunology and identification of pathogenic microorganisms. Prerequisite: Grade of C or better in BIOL 112, CHEM 228, MATH 142 or MATH 151, and PHYS 202; junior or senior classification.",
VTPB,407,"Advanced Veterinary Microbiology Laboratory. (0-4). Credit 1 to 3.  Modular course (one credit per module) that covers immunological and molecular techniques used with bacteria, parasites and viruses in animals for diagnostic and identification purposes. Prerequisites: VTPB 405, VTPB 409 and VTPB 438 or concurrent enrollment; junior or senior classification.",
VTPB,409,"Introduction to Immunology. (3-0). Credit 3. Diverse concepts relative to immunologic mechanisms inherent to domestic and laboratory animals. Prerequisite: Advanced classification.",
VTPB,410,"Cell Mechanisms of Disease. (3-0). Credit 3. Mechanisms, morphologic manifestations and clinical signs of disease processes at the cellular level. Prerequisites: CHEM 227 and CHEM 228, or equivalent; junior or senior classification; biomedical sciences major, biomedical engineering major or related field.",
VTPB,438,"Biomedical Virology. (3-0). Credit 3. Fundamental study of nature and characteristics of human and animal viruses; classification, morphology, chemical structure, ability to cause disease and nature of resulting disease. Prerequisite: 3 hours of microbiology or approval of instructor.",
VTPB,438,"Biomedical Virology. (3-0). Credit 3. Fundamental study of nature and characteristics of human and animal viruses; classification, morphology, chemical structure, ability to cause disease and nature of resulting disease. Prerequisite: 3 hours of microbiology or approval of instructor.",
VTPB,613,"Mammalian Genomics and Bioinformatics. (3-0). Credit 3. Exploration of fundamental concepts and principles in mammalian genomics and bioinformatics; includes case studies involving applications of modern technologies and experimental practices that are foundational for historic and modern discovery. Prerequisite: Graduate classification.",
VTPB,922,"Pathology I. Credit 3 to 6. Structural and functional changes in cells, tissues and organ systems of animals; pathogenesis, mechanisms and morphologic features of diseases and their relationship to clinical signs; laboratory consists of studies of gross and microscopic pathology.  Prerequisite: Enrollment in the first year of professional DVM curriculum.",
VTPB,925,"Agents of Disease I. (3-2). Credit 4. Introduction to the agents of infectious diseases: bacteria, fungi, viruses, prions, protozoa, helminths and arthropods; agents by general taxonomy and structural features as they relate to diagnosis and therapy, replication strategies, diagnostic procedures and mechanisms of disease production; infectious diseases representing each class of agents with emphasis on characteristics of infectious diseases for each body-system, establishing differential diagnoses for disease syndromes and developing a diagnostic approach. Prerequisite: Enrollment in first year professional DVM curriculum.",
VTPB,932,"Organ Dysfunction: Recognition, Diagnostics and Supportive Care. (3-2). Credit 4. Recognition and diagnosing disorders of various body systems using clinical scenarios and laboratory data analysis; introduction to evaluation and implementation of basic treatment options to provide supportive care to animals given a disorder(s) of the body systems. Prerequisite: Enrollment in the second year of professional DVM curriculum.",
VTPB,948,"Didactic Elective.  Credit 1 to 12. Elective course in veterinary microbiology, pathology, genetics, immunology or parasitology for professional students who wish to supplement required curriculum. May be repeated for credit. Prerequisite: Enrollment in the third year of professional curriculum.",
VTPB,988,"Veterinary Pathobiology Selective. (2-0). Credit 2. Selective course in veterinary pathobiology. Prerequisites: Third year classification in veterinary medicine and in good standing.",
VTMI,610,"Epidemiologic Methods II and Data Analysis. (3-3). Credit 4. Principles and methods for the analysis of data from epidemiologic studies including the purpose of data analysis and role of statistics, sampling distributions, probability distributions, analysis of crude, stratified and matched data, and the use of linear and logistic regression methods. Prerequisites: VIBS 608 and STAT 651 or approval of instructor. Cross-listed with VIBS 610.",
VTMI,632,"Wildlife Capture, Immobilization and Handling. (2-0). Credit 2. Chemical immobilization of using drugs and drug combinations not used elsewhere in veterinary (nor human) practice and under a variety of field conditions; topics include how to safely capture, immobilize, handle, and collect samples from a variety of non-domestic animals. Prerequisites: Graduate classification and approval of instructor.",
VTMI,649,"Immunology. (3-0). Credit 3. Cellular basis of the immune response; relationships between inflammation and acquired immunity, MHC and cell activation; the role of cytokines in immunoregulation and hypersensitivity, vaccines, and the mechanism of immunity to viruses, bacteria and parasites. Prerequisite: VTPB 409 or equivalent. Cross-listed with POSC 649.",
VSCS,698,"Teaching Surgery Lab. (2-12). Credit 4. Theory and practical aspects of teaching surgical procedures, with emphasis on content, instructional methods and practical aspects of surgery lab. May be repeated one time for credit. Prerequisites: Graduate classification in VIBS/VSCS; appointment as TA for VSCS 932.",
VSCS,932,"Principles of Surgery. (1-2). Credit 2. Surgical management of veterinary patients; focus on basic surgical equipment, techniques, procedures and preparation of the surgeon and patient. Prerequisites: Enrollment in the second year of professional DVM curriculum.",
VSCS,948,"Small Animal Medicine and Surgery Elective.  Credit 1 to 12. In-depth study of selected disease processes in the various disciplines of small animal medicine and surgery will be conducted emphasizing management, diagnostics and medical or surgical treatment. May be repeated for credit. Prerequisite: Third year classification in veterinary medicine or approval of department head.",
VSCS,930,"Principles of Anesthesia & Analgesia. (2-2). Credit 3. Clinical practice of veterinary anesthesia and analgesia; equipment for administration of inhalant anesthetics, evaluation and preparation of patients for anesthesia, equipment and techniques for monitoring anesthetized patients; methods for controlling pain during the perianesthetic period; anesthetic principles for management of various species; anesthetic principles for management of patients with coexisting disease. Prerequisites: Enrollment in the second year of professional DVM curriculum.",
VSCS,957,"Small Animal Diagnostics & Therapeutics II. (4.5-0). Credit 4.5. Medical and surgical diseases in dogs and cats including pathophysiology, diagnosis and therapeutic management; understanding of self-directed continued study and appropriate use of referral; disorders of the reproductive, respiratory, hemolymphatic, dermatologic, urinary, neurologic, gastrointestinal, ophthalmic, cardiovascular, neuromuscular, orthopedic and endocrine systems; includes neoplastic, nutritional, infectious and metabolic disorders. Prerequisite: Enrollment in the third year of professional DVM curriculum.",
VSCS,960,"Clinical Focus-Tracking II - Companion Animal. (2-0). Credit 2. Advanced medical and surgical disorders of the dog and cat; history-taking and problem-solving skills; physical examination findings; laboratory/imaging results; formulation of diagnostic and therapeutic plans. Prerequisite: Enrollment in the third year of professional DVM curriculum.",
VSCS,988,"Small Animal Medicine and Surgery Selective. (2-0). Credit 2. In-depth study of selected disease processes in the various disciplines of small animal medicine and surgery; emphasis on management, diagnostics and medical treatment or therapeutic approaches. Prerequisites: Third year classification in veterinary medicine and in good standing. May be taken for credit up to eight hours.",
VPAT,643,"Applied Pathology.  Credit 1 or more each semester. Application of information and concepts of anatomic and clinical pathology to the diagnosis of animal disease; gross pathological changes observed in necropsy are correlated with and corrected by histopathologic observations; confirmatory methods of clinical pathology and laboratory medicine used where indicated. May be taken more than once but not to exceed 6 hours of credit toward a graduate degree. Prerequisite: DVM degree or equivalent.",
VPAT,651,"Systemic Pathology II. (4-0). Credit 4. Continuation of VPAT 641. Disease manifestations in special organs and tissues and interrelations of pathologic processes in individual and functionally related organs. Prerequisite: VPAT 641.",
VPAT,652,"Cell Mechanisms of Disease. (3-0). Credit 3. Basic cellular mechanisms and general manifestations of disease; illustration of clinical and anatomical/morphological aspects of various diseases. Prerequisites: Graduate classification; enrollment in BIMS or BMEN curriculum; approval of instructor.",
VPAT,653,"Pathology of Laboratory Animals. (3-0). Credit 3. Pathology and pathogenesis of spontaneous infectious, parasitic, metabolic and neoplastic diseases of laboratory animals. Prerequisite: VTPB 922 or equivalent.",
VPAT,654,"Fundamentals in Laboratory Animal Medicine. (2-0). Credit 2. Knowledge of the biology, management, and diseases of laboratory animals; preparation of comparative medicine residents for the board certifying examination of the American College of Laboratory Animal Medicine (ACLAM). Prerequisites: DVM degree and acceptance into the laboratory animal residency program; or approval of instructor.",
VPAT,655,"Contemporary Topics in Laboratory Animal Medicine. (1-0). Credit 1. Analysis of at least one article per week and deliverance of a short oral presentation to the class concerning the article’s main points as well as commenting on the quality of the paper experimental design; relies heavily from the current literature published through two main laboratory animal medical journals, Comparative Medicine (CompMed) and Journal of the American Association for Laboratory Animal Science (JAALAS). Prerequisites: DVM and acceptance into the laboratory animal residency program; or approval of instructor.",
VPAT,681,"Seminar. (1-0). Credit 1. For graduate and special students in veterinary or comparative pathology; presentation and discussion of special topics and research data concerning pathology and pathogenesis of disease. Prerequisite: Approval of instructor.",
VMID,686,"Scientific Ethics. (1-0). Credit 1. Ethical issues of research and methods for resolution of such issues; overview of ethical issues encountered by scientists in the conduct and dissemination of their research, in their pursuit of resources, in their interactions with the press and the broader public and resulting from the extension and technological application of their findings. Prerequisite: Graduate classification.",
VMID,944,"Integrated Animal Care III - Elements of Care. (4-0). Credit 4. In-depth exploration of the purpose and function of animal species cared for by veterinarians and the roles veterinarians play in the health of animals, humans and the environment. Prerequisite: Enrollment in the second year of professional DVM curriculum.",
VMID,964,"Clinical Experience. Credit 3. Introduction to the art and practice of clinical veterinary medicine in the Veterinary Medical Teaching Hospital (VMTH) by rotation through services linked to the selected career-focus track (companion animal, equine, food animal); opportunities for clinical experience including integration of didactic content to clinical cases; participation alongside senior veterinary students for clinical case evaluation and treatment; understanding of VMTH policies for sample submission and associated requirements. Prerequisite: Enrollment in the third year of professional DVM curriculum.",
VMID,966,"Professional and Clinical Skills VI. (0-8). Credit 4. Integration and reinforcement of foundational knowledge offered in concurrent courses through critical thinking exercises, professional skills application activities (ethics/contextual decision-making, leadership, skills for well-being, personal/practice financial literacy, core communication skills) and application of technical skills; opportunities for learning include didactic, hands-on and case-based interactions utilizing simulation, models, animals, actors and case scenarios; part VI of a VI part series. Prerequisite: Enrollment in the third year of professional DVM curriculum.",
VLCS,604,"Topics in Agricultural and Veterinary Research. (2-0). Credit 2. Focus on group-oriented discussion and presentation of current developments and research topics in agriculture, animal science, and veterinary biomedicine; improvement of professional and research skill sets through opportunities in, but not limited to, public discussion and presentation, understanding and critical evaluation of research topics, data management, and interpretation. Prerequisites: Graduate classification.",
VLCS,606,"Metagenomic Sequencing Informatics I. (3-0). Credit 3. Exploration of metagenomic sequencing informatics for amplicon sequencing data through participation in lectures, discussion of peer-reviewed literature, and hands-on exercises using real sequence data that will result in manuscript submission to a peer-reviewed journal. Prerequisites: Graduate classification.",
VLCS,910,"Integrated Animal Care II. (1-2). Credit 2. Foundation in companion animal and large animal veterinary care; focus on day-one veterinary wellness and preventive care and herd-health concepts; exposure includes companion animal species, common large animal species, pocket pets, reptiles, camelids, miniature pigs and birds; clinical application of topics including neonatal care, husbandry practices, animal behavior, parasite prevention, immunization protocols and healthy animal nutrition. Prerequisites: Enrollment in the first year of professional DVM curriculum.",
VLCS,924,"Diagnostic Imaging & Interpretation I. (1-2). Credit 2. Fundamentals of diagnostic evaluation of radiographic and ultrasonographic images in companion animals; focus on importance of diagnostic and therapeutic imaging. Prerequisite: Enrollment in the second year of professional DVM curriculum.
",
VLCS,926,"Professional & Clinical Skills IV. (1-6). Credit 3. Integration and reinforcement of foundational knowledge offered in concurrent courses through critical thinking exercises, professional skills application activities (ethics/contextual decision-making, leadership, skills for well-being, personal/practice financial literacy, core communication skills), and application of technical skills; opportunities for learning include didactic, hands-on and case-based interactions utilizing simulation, models, animals, actors and case scenarios; part IV of a VI part series. Prerequisite: Enrollment in the second year of professional DVM curriculum.",
VLCS,957,"Large Animal Diagnostics & Therapeutics II. (3.5-0). Credit 3.5. Foundational content for the diagnosis, treatment and prevention of common diseases and conditions of horses, cattle, sheep, goats, pigs and poultry; promotes successful entry into large animal and rural practice. Prerequisite: Enrollment in the third year of professional DVM curriculum.",
VLCS,960,"Clinical Focus-Tracking II - Equine. (2-0). Credit 2. Application of advanced topics in pathophysiology, diagnostics, medical and surgical management and prevention of equine diseases; emphasis on case-based learning and problem-solving skills. Prerequisite: Enrollment in the third year of professional DVM curriculum.",
VLCS,961,"Career-Focus Tracking II - Food Animal. (2-0). Credit 2. Problem-solving of clinical herd and individual animal cases for beef and dairy cattle and small ruminants; builds on medical and surgical diseases of the ruminant, swine from large animal diagnostics and therapeutics and food animal career-focus tracking I. Prerequisite: Enrollment in the third year of professional DVM curriculum.",
VLCS,988,"Large Animal Medicine and Surgery Selective. (2-0). Credit 2. In-depth study of selected disease processes in the various disciplines of large animal medicine and surgery; emphasis on management, diagnostics and medical treatment or therapeutic approaches. Prerequisites: Third year classification in veterinary medicine and in good standing. May be taken for credit up to eight hours.",
VIZA,619,"Motion Capture Animation. (2-2). Credit 3. Overview of motion capture technology, history, and techniques; application of motion-captured data to animate digital characters and props, including capture, cleaning and retargeting data for use. Prerequisites: VIZA 613 or VIZA 615; or approval of instructor.",
VIZA,622,"Design Communications I. (2-2). Credit 3. Theory and practice of visual communication employing a variety of digital and conventional media; emphasis on creating effective, self-expressive images employing the combined use of a variety of media. Prerequisites: VIZA 465 or VIZA 611 or equivalent; graduate classification or approval of instructor.",
VIZA,626,"Generative Art and Design. (1-4). Credit 3. Theory and creative application of generative systems in studio art practice; chance based systems include random numbers and noise; biologically inspired systems include genetic algorithms, L-systems, and artificial life; systems drawn from complexity theory include, cellular automata, fractals, finite state machines, catastrophe theory, reaction diffusion systems, and chaos. May be taken 2 times for credit. Prerequisite: Graduate classification in visualization or approval of instructor.",
VIZA,655,"Principles and Practices in Digital Twin Technology. (2-2). Credit 3. Comprehensive introduction to digital twins and the technologies to make them possible; focus on tools, techniques and interfaces of digital twins, alongside applied Internet of Things (IOT) methodologies. Prerequisites: Graduate classification or approval of instructor.
",
VIZA,656,"Image Synthesis. (2-2). Credit 3. Principles of image synthesis from 3-D scene descriptions; topics may include local and global illumination, shading, shadow determination, hidden surface elimination, texturing, raster graphics algorithms, transformations and projections. Prerequisites: Graduate classification in Visualization; VIZA 652, or approval of instructor. Cross-listed with CSCE 647.",
VIZA,677,"Virtual Reality. (2-2). Credit 3. Theory and practice of virtual reality (VR); interactive 3D virtual environments, immersive technology, perceptual realism, and embodied interaction experience; overview of VR with topics including input devices, output devices, 3D interaction techniques, augmented reality, the role of realism in VR, navigation techniques, design guidelines, and evaluation methods; hands-on experience designing VR experiences emphasizing application, demonstration, or research purposes. Prerequisites: Graduate classification or approval of instructor. Cross-listed with CSCE 650.",
VIZA,682,"Graduate Capstone. (2-1). Credit 2. Integration of core methodologies in a focused research problem and/or projects in visualization; communication of research proposal and results; applied documentation of the final project or body of work reflecting aesthetic sophistication and technical expertise and applied design. Prerequisites: Graduate classification.",
VIZA,684,"Professional Internship. (3-0). Credit 3. Practical experience in a studio/museum/gallery setting working with allied professionals; minimum fifteen week internship with a minimum of 600 hours continuous employment; departmental pre-approval through the departmental internship coordinator required; post approval evaluation conducted following the internship. May not be repeated for credit.",
VIZA,688,"Graduate Studio. (2-2). Credit 3. Focus on individual creative research and practice, precisely aimed at examining the conceptual, aesthetic and technical challenges that emerge from artistic creation; one-on-one instruction, group discussion, critique, studio visits from guest artists, and dedicated studio time. May be repeated for credit. Prerequisites: Graduate classification and enrollment in Masters of Fine Art in Visualization or approval of instructor.",
VIZA,689,"Special Topics in...  Credit 1 to 4. Selected topics in an identified field of design communication and/or electronic media. May be repeated for credit.",
VIZA,689,"Special Topics in...  Credit 1 to 4. Selected topics in an identified field of design communication and/or electronic media. May be repeated for credit.",
VIZA,693,"Professional Study. Credit 1 to 9. Research and writing combined with MFA studio projects; prepare and present a public exhibition of a final body of work; submit a related scholarly journal paper as approved by the committee chair. May be repeated for credit. Prerequisites: Graduate classification in visualization and approval of instructor.",
VIST,101,"Introduction to Visual Studies. (3-0). Credit 3. Survey of topics in the interdisciplinary field of visual studies, including forms of art, media, and architecture, and visual culture in global and intercultural contexts; application of visual studies methods and techniques to art, media, and architecture; analysis of the visual in contemporary culture; in-class visual studies exercises and discussions. Cross-listed with FILM 101.",
VIST,106,"Principles of Design II. (1-7). Credit 3. Fundamentals of spatial design; theory of form; transformations, additive/subtractive techniques as process; 3D composition; traditional modeling and construction techniques; formal visual analysis and critique. Prerequisite: Grade of C or better in VIST 105.",
VIST,110,"Design Innovation. (2-2). Credit 3. Introduction to fundamental design issues, processes, and theories relevant to design resolution and the creation of new ideas for innovative design products and services by keeping users’ needs at the center of the development process; overview of design research, prototyping, evaluation, and communication techniques to generate valuable insights for design innovation.",
VIST,173,"Foundations of Visual Computing II. (2-2). Credit 3. Continuation of the introduction to programming and mathematical concepts underlying visual computing, with emphases on object-oriented programming and interaction; includes a graduated series of hands-on programming assignments; introduction to scripting in a 3D animation and visual effects package. Prerequisites: Grade of C or better in VIST 172.",
VIST,206,"Visual Studies Studio I. (1-5). Credit 3. Theory and practice of visual communication methodologies and processes used in interactive media, game design and development, or animation; visual storytelling. Prerequisite: Grade of C or better in VIST 275.",
VIST,284,"Visualization Techniques. (0-2). Credit 1. Introduction to software used in the visual arts for technical manipulation of content, including film editing, gaming, Augment Reality (AR)/Virtual Reality (VR), or Audio. Specific course content will vary based upon curriculum requirements. May be repeated two times for credit. Prerequisite: Major in visualization, minor in art, or minor in game design and development.",
VIST,225,"Virtual Production Techniques. (2-2). Credit 3. Introduction to the virtual production techniques utilized in various fields of visualization; topics include live action cinematography, real time engine, direct modeling, and animation digital content creation; procedural digital content creation; animation sequencing and virtual camera control in a real-time engine. Prerequisites: Lower division in Visualization, or approval of instructor.",
VIST,305,"Visual Studies Studio II. (1-5). Credit 3. Theory and practice of visual communication employing digital and conventional media; development of artistic concepts, proposal development and related implementation techniques; introduction to digital painting, 3D modeling, animatics and post production. Prerequisites: Grade of C or better in VIST 206.",
VIST,327,"Virtual Cinematography and Lighting. (2-2). Credit 3. Principles and practical application of lighting and cinematography in the virtual production environment; building on the principles of visual communication; exploration of lighting, composition, and camera movement utilized for the achievement of desired presentation goals. Prerequisites: Grade of C or better in VIST 225; junior or senior classification.",
VIST,333,"Story for the Screen. (3-0). Credit 3. Exploration of the internal structure of stories; exploration of stories through emotion and action beats; narrative scripts in the visually kinetic language through which live-action and animated films and narratively-driven video games perform stories. Prerequisites: Junior or senior classification. Cross-listed with FILM 333.",
