ccode,cnumber,description,
ACCT,407,"Auditing. (3-0). Credit 3. Introduction to auditing theory and procedures pertaining to financial statements, in the context of both external auditing, by certified public accountants, and internal auditing; preparation of working papers. Prerequisite: ACCT 327 with a grade of C or better.",
ACCT,408,"Internal Auditing. (3-0). Credit 3. Reading and evaluation of current theory and procedures used by internal auditors; selected case studies; statistical methods of forming auditing judgment. Prerequisite: Grade of C or better in ACCT 427.",
ACCT,410,"Fraud Examination. (3-0). Credit 3. Principles and methodologies of detecting and deterring fraud using accounting, auditing, and investigative skills; includes skimming, larceny, misappropriations, fraudulent statements, interviewing witnesses and support for litigation. Prerequisites: ACCT 327 with a grade of C or better; junior or senior classification.",
ACCT,427,"Accounting and Financial Information Systems. (3-0). Credit 3.  Overall data flow systems emphasizing financial data and computerized systems, for accounting majors; flow and logic concepts, developing meaningful control concepts and data reporting techniques. Prerequisite: ACCT 229 with a grade of C or better.",
ACCT,445,"International Accounting. (3-0). Credit 3. Introduction and examination of accounting issues unique to multinational enterprises and international business activity; only ACCT 445 sections count for the accounting coursework requirements for the CPA exam. Prerequisites: ACCT 315 or ACCT 327; FINC 341. Cross-listed with IBUS 445.",
ACCT,450,"Accounting Ethics. (3-0). Credit 3. Integration of ethical reasoning, objectivity, independence and other core values into the development of a professional accountant; critical analysis of the ethical lapses which have occurred in business and the accounting profession; exploring ways to integrate ethical behavior into professional life. Prerequisites: ACCT 427; junior or senior classification.",
ACCT,484,"Accounting Internship. Credit 0 to 3. A directed internship in an organization to provide on-the-job training under the supervision of accounting professionals in organizational settings appropriate to the students professional objectives. May be taken for credit up to three hours. Must be taken on a satisfactory/unsatisfactory basis. Prerequisites: Accounting major or approval of department head.",
ACCT,489,"Special Topics in...  Credit 1 to 4. Selected topics in an identified area of accounting. May be repeated for credit. Prerequisites: Admission to upper division in Mays Business School and approval of instructor.",
ACCT,607,"Seminar in Auditing. (3-0). Credit 3. Current issues and research in auditing, attestation and financial disclosures. Classification 6 students may not enroll in this course. Prerequisite: ACCT 407 or equivalent.",
ACCT,640,"Accounting Concepts and Procedures I. (3-0). Credit 3. Accounting concepts and relationships essential to administrative decisions; use of accounting statements and reports as policymaking and policy execution tools. Classification 6 students and non-business graduate students may enroll in this course. Prerequisite: Graduate classification.",
ACCT,644,"Control and Audit of Information Systems. (3-0). Credit 3. Focuses on the control, audit, and security of information systems;  aimed at enhancing the ability of accounting professionals to deal with complex computer-based accounting systems as auditors of these systems; topics include general and application controls, audit software, and e-commerce security. Prerequisite: ACCT 427; graduate classification.",
ACCT,646,"International Accounting. (3-0). Credit 3. Introduction and examination of accounting issues unique to multinational enterprises and international business activity. Classification 6 students may not enroll in this course. Prerequisites: ACCT 328; FINC 341. Cross-listed with IBUS 646.",
ACCT,647,"Financial Statement Analysis. (3-0). Credit 3. Analytical approach to financial statements; application of finance and accounting principles relevant to the analysis of financial statements. Classification 6 students may not enroll in this course. May be taken three times for credit. Prerequisites: FINC 612 or FINC 635; ACCT 610 or ACCT 640. Cross-listed with FINC 647.",
ACCT,657,"Accounting Data Analytics. (3-0). Credit 3. Use of data analytics process in accounting, audit and tax; formulation of business questions; acquisition of financial and business data to address those questions; use of extract, transform, load (ETL) techniques on financial data; analysis of the data; communication of the results of the data through data visualizations. Prerequisites: ACCT 427 and graduate classification.",
ACCT,660,"Accounting Information and Financial Markets. (3-0). Credit 3. Financial accounting research with emphasis on financial markets; investigates major areas of financial accounting research, related statistical techniques and the progress of research in a historical perspective. Classification 6 students may not enroll in this course. Prerequisite: ACCT 665 or approval of instructor.",
ACCT,677,"Chief Financial Officers and Financial Leadership. (3-0). Credit 3. Application of the theory underlying financial accounting and reporting used by accounting leaders; use of cases and financial statements to illustrate practical issues related to standard setting and financial statement measurement and reporting topics; actual topics covered vary as conditions change. Prerequisites: Graduate classification and approval of instructor.",
ACCT,680,"Tax Research and Policy. (3-0). Credit 3. Methodology and sources of tax research; tax analysis research, policy implications, behavioral aspects and use of quantitative analysis. Classification 6 students may not enroll in this course. Prerequisite: ACCT 405 or 611.",
ACCT,684,"Professional Internship. Credit 0 to 3. A directed internship in an organization to provide on-the-job training under the supervision of accounting professionals in organizational settings appropriate to the students professional objectives. May be taken up to 3 hours for credit. Must be taken on a satisfactory/unsatisfactory basis. Classification 6 students may not enroll in this course. Prerequisites: Accounting major or approval of committee chair and department head.",
ACCT,685,"Directed Studies.  Credit 1 to 4 each semester. Directed individual study of selected problems using recent developments in business research methods. Classification 6 students may not enroll in this course. Prerequisites: Graduate classification and approval of instructor.",
ACCT,688,"Doctoral Seminar. (3-0). Credit 3. Historical development of the conceptual framework of accounting theory and practices; analysis of current research and controversial issues in the field. For doctoral students only. May be repeated for credit. Classification 6 students may not enroll in this course. Prerequisite or corequisite: ACCT 665.",
ACCT,691,"Research.  Credit 1 or more each semester. Research for thesis or dissertation. Classification 6 students may not enroll in this course.",
AEGD,602,"Clinical Dentistry III. (0-0). Credit 0. Clinical diagnosis and treatment of advanced comprehensive multidisciplinary cases under faculty guidance and supervision.",
AEGD,604,"Practice Management I. Credit 0 to 1.5. All areas of practice and business management will be discussed, including office management, personnel management, professional ethics, financial planning, starting a practice, office design and legal responsibilities.",
AEGD,607,"Advanced Fixed Prosthodontics. Credit 1.5. Diagnosis, treatment planning and clinical treatment of complicated cases requiring advanced skills in fixed prosthodontics, including implant restoration.",
AEGD,617,"Treatment Planning Conference III. Credit 1.5. Diagnosis and treatment planning for comprehensive cases involving a multidisciplinary approach; student presentation of complex cases to a graduate faculty forum; defense of treatment plans using documented scientific or clinical evidence.",
AEGD,620,"Current Literature Review III. Credit 1.5. Detailed review of relevant literature on topics selected by the graduate faculty and presentation by graduate students; enhancement of student knowledge in selected subject areas and development of ability to critically evaluate scientific literature.",
AEGD,626,"Advanced Restorative Dentistry Based on Digital Technologies. Credit 0 to 5. Implementation of latest technology; intraoral scanners; computer-aided design (CAD) software; additive manufacturing and 3D printing technologies. May be repeated two times for credit. Prerequisite: Graduate classification in the college of dentistry.",
AEGD,689,"Special Topics In... Credit 0 to 4. Selected topics in an identified area of advanced education in general dentistry. May be repeated for credit. Prerequisite: Graduate classification.",
AERO,201,"Introduction to Flight. (3-1). Credit 3. Standard atmosphere, basic aerodynamic theory, airfoil and wing descriptions, introduction to orbital mechanics, elementary aerospace vehicle performance, and experiential introduction to aerospace engineering. Prerequisite: Grade of C or better in ENGR 102 and PHYS 206; grade of C or better in ENGR 216 or PHYS 216; grade of C or better in MATH 251 or MATH 253 or concurrent enrollment; Aerospace Engineering majors only.",
AERO,201,"Introduction to Flight. (3-1). Credit 3. Standard atmosphere, basic aerodynamic theory, airfoil and wing descriptions, introduction to orbital mechanics, elementary aerospace vehicle performance, and experiential introduction to aerospace engineering. Prerequisite: Grade of C or better in ENGR 102 and PHYS 206; grade of C or better in ENGR 216 or PHYS 216; grade of C or better in MATH 251 or MATH 253 or concurrent enrollment; Aerospace Engineering majors only.",
AERO,211,"Aerospace Engineering Mechanics. (3-0). Credit 3. Fundamentals of Newtonian mechanics; static equilibrium of particles, system of particles and rigid bodies; free body diagrams; rectilinear and curvilinear motion of particles; linear momentum; angular momentum; friction; plane motion of rigid bodies; beams and trusses. Prerequisites: Grade of C or better in ENGR 102 and PHYS 206; grade of C or better in ENGR 216 or PHYS 216; grade of C or better in MATH 251 or MATH 253, or concurrent enrollment; Aerospace Engineering majors only.",
AERO,211,"Aerospace Engineering Mechanics. (3-0). Credit 3. Fundamentals of Newtonian mechanics; static equilibrium of particles, system of particles and rigid bodies; free body diagrams; rectilinear and curvilinear motion of particles; linear momentum; angular momentum; friction; plane motion of rigid bodies; beams and trusses. Prerequisites: Grade of C or better in ENGR 102 and PHYS 206; grade of C or better in ENGR 216 or PHYS 216; grade of C or better in MATH 251 or MATH 253, or concurrent enrollment; Aerospace Engineering majors only.",
AERO,212,"Introduction to Aerothermodynamics. (3-1). Credit 3. Study of thermodynamic properties and processes, heat and work, first and second laws of thermodynamics, ideal cycles for power and refrigeration applications; emphasis on the Brayton jet-engine cycle. Prerequisite: Grade of C or better in CHEM 107 and CHEM 117, or CHEM 120; grade of C or better in MATH 251 or MATH 253, or concurrent enrollment; AERO majors.",
AERO,212,"Introduction to Aerothermodynamics. (3-1). Credit 3. Study of thermodynamic properties and processes, heat and work, first and second laws of thermodynamics, ideal cycles for power and refrigeration applications; emphasis on the Brayton jet-engine cycle. Prerequisite: Grade of C or better in CHEM 107 and CHEM 117, or CHEM 120; grade of C or better in MATH 251 or MATH 253, or concurrent enrollment; AERO majors.",
AERO,214,"Introduction to Aerospace Mechanics of Materials. (2-2). Credit 3. Fundamental concepts for deformable bodies (conservation of linear and angular momentum, kinematics and thermoelasticity); notions of stress and strain and illustrative examples for engineering applications; introduction to experimental methods and reporting, instrumentation and uncertainty analysis; measurement of elastic and thermal material properties. Prerequisites: Grade of C or better in AERO 211; grade of C or better in MATH 308, or concurrent enrollment.",
AERO,214,"Introduction to Aerospace Mechanics of Materials. (2-2). Credit 3. Fundamental concepts for deformable bodies (conservation of linear and angular momentum, kinematics and thermoelasticity); notions of stress and strain and illustrative examples for engineering applications; introduction to experimental methods and reporting, instrumentation and uncertainty analysis; measurement of elastic and thermal material properties. Prerequisites: Grade of C or better in AERO 211; grade of C or better in MATH 308, or concurrent enrollment.",
AERO,222,"Introduction to Aerospace Computation. (2-2). Credit 3. Review of basic skills required for developing computer programs and introduction to more advanced concepts in scientific computing to solve aerospace engineering problems; numerical and analytical methods of solving engineering problems involving interpolation and extrapolation; function approximation; numerical differentiation; integration; solutions to linear and non-linear equations and systems of equations; eigenvalues and eigenvectors, numerical integration of differential equations with aerospace engineering applications. Prerequisites: Admitted to major degree sequence in aerospace engineering; grade of C or better in ENGR 102; grade of C or better in MATH 308 or concurrent enrollment.",
AERO,222,"Introduction to Aerospace Computation. (2-2). Credit 3. Review of basic skills required for developing computer programs and introduction to more advanced concepts in scientific computing to solve aerospace engineering problems; numerical and analytical methods of solving engineering problems involving interpolation and extrapolation; function approximation; numerical differentiation; integration; solutions to linear and non-linear equations and systems of equations; eigenvalues and eigenvectors, numerical integration of differential equations with aerospace engineering applications. Prerequisites: Admitted to major degree sequence in aerospace engineering; grade of C or better in ENGR 102; grade of C or better in MATH 308 or concurrent enrollment.",
AERO,299,"Mid-Curriculum Professional Development. (0-0). Credit 0. Participation in an approved high-impact learning practice; reflection on professional outcomes from engineering body of knowledge; documentation and self-assessment of learning experience at mid-curriculum point.",
AERO,301,"Theoretical Aerodynamics. (3-0). Credit 3. Conservation of mass and momentum; Reynolds transport theorem; fundamentals of incompressible flow, rotationality, potential flow, superposition, circulation, lift, thin airfoil theory, elliptic wing theory and induced drag. Prerequisite: Grade of C or better in AERO 201, AERO 212; grade of C or better in AERO 222 and MATH 308, or concurrent enrollment.",
AERO,301,"Theoretical Aerodynamics. (3-0). Credit 3. Conservation of mass and momentum; Reynolds transport theorem; fundamentals of incompressible flow, rotationality, potential flow, superposition, circulation, lift, thin airfoil theory, elliptic wing theory and induced drag. Prerequisite: Grade of C or better in AERO 201, AERO 212; grade of C or better in AERO 222 and MATH 308, or concurrent enrollment.",
AERO,303,"High Speed Aerodynamics. (3-0). Credit 3. Fundamentals of compressible flow; governing Euler equations; adiabatic and isentropic flow; normal and oblique shocks and expansion waves, moving shocks, shock interactions, wedge and cone flow; supersonic airfoils, exact and thin theory, choked flow and wind-tunnel design, two-dimensional gas dynamics, and method of characteristics. Prerequisite: Grade of C or better in AERO 301.",
AERO,303,"High Speed Aerodynamics. (3-0). Credit 3. Fundamentals of compressible flow; governing Euler equations; adiabatic and isentropic flow; normal and oblique shocks and expansion waves, moving shocks, shock interactions, wedge and cone flow; supersonic airfoils, exact and thin theory, choked flow and wind-tunnel design, two-dimensional gas dynamics, and method of characteristics. Prerequisite: Grade of C or better in AERO 301.",
AERO,304,"Aerospace Structural Analysis I. (3-0). Credit 3. Three-dimensional beam theory; applications of elasticity theory to beam extension and compression, bending, torsion and transverse shearing; combined loading; analysis of thin-walled structures; stress concentrations; analysis of stability of aerospace structures; elements of structural failure, buckling; structural design considerations. Prerequisite: Grade of C or better in AERO 214 and MATH 308; grade of C or better in AERO 222 or concurrent enrollment.",
AERO,304,"Aerospace Structural Analysis I. (3-0). Credit 3. Three-dimensional beam theory; applications of elasticity theory to beam extension and compression, bending, torsion and transverse shearing; combined loading; analysis of thin-walled structures; stress concentrations; analysis of stability of aerospace structures; elements of structural failure, buckling; structural design considerations. Prerequisite: Grade of C or better in AERO 214 and MATH 308; grade of C or better in AERO 222 or concurrent enrollment.",
AERO,306,"Aerospace Structural Analysis II. (3-0). Credit 3. Work and energy principles; analysis of indeterminate structures by classical virtual work and finite elements; introduction to elastic stability of columns; application of energy methods to determine stresses, strains and displacements in typical aerospace structures; design considerations in aerospace structures. Prerequisite: Grade of C or better in AERO 304.",
AERO,307,"Aerospace Engineering Laboratory. (2-3). Credit 3. Intermediate and advanced topics in instrumentation, signal conditioning, data acquisition analysis for aerospace-related measurements; emphasis on technical reporting and data presentation; measurements of materials strain, deformation, pressure, velocity and aerodynamic forces; experimental investigations of static and dynamic response of structures; use of nonintrusive optical techniques; uncertainty analysis; linear regression, Fourier transform and power spectra; tests for statistical significance; design of experiments. Prerequisites: Grade of C or better in ENGL 103 or ENGL 104; grade of C or better in AERO 222, AERO 301, AERO 304, AERO 310, ECEN 215, or concurrent enrollment.",
AERO,310,"Aerospace Dynamics. (3-0). Credit 3. Spatial kinematics; general motion of particles; Euler angles; Newton-Euler methods for translation and rotation of rigid bodies; work-energy and impulse momentum principles applied to aerospace systems; Linear theory of free dynamic response of single and multi-degree of freedom systems; frequency response of first and second order systems with instrumentation applications. Prerequisite: Grade of C or better in AERO 211 and MATH 308; grade of C or better in AERO 222 or concurrent enrollment.",
AERO,321,"Dynamics of Aerospace Vehicles. (3-0). Credit 3. Derivation of the nonlinear air and space vehicle dynamics equations; attitude representation with Euler angles and quaternions; forces and moments due to aerodynamics, thrust and gravity gradient; linearization; development of state-space models for aircraft and spacecraft; static and dynamic stability analysis for aircraft and satellites; spin and gravity gradient stabilization; stability derivatives; longitudinal and lateral modes and transfer functions for aircraft; aircraft flying qualities; elements of aircraft configuration design; response to control inputs. Prerequisite: Grade of C or better in AERO 301 and AERO 310.",
AERO,321,"Dynamics of Aerospace Vehicles. (3-0). Credit 3. Derivation of the nonlinear air and space vehicle dynamics equations; attitude representation with Euler angles and quaternions; forces and moments due to aerodynamics, thrust and gravity gradient; linearization; development of state-space models for aircraft and spacecraft; static and dynamic stability analysis for aircraft and satellites; spin and gravity gradient stabilization; stability derivatives; longitudinal and lateral modes and transfer functions for aircraft; aircraft flying qualities; elements of aircraft configuration design; response to control inputs. Prerequisite: Grade of C or better in AERO 301 and AERO 310.",
AERO,351,"Aerothermodynamics and Propulsion. (3-0). Credit 3. Aerothermodynamics of gases; laws of thermodynamics; equilibrium conditions; mixtures of gases; combustion and thermochemistry; compressible internal flows with friction, heat transfer and shock; turbojet cycle analysis and performance; chemical rockets. Prerequisite: Grade of C or better in AERO 303.",
AERO,401,"Aerospace Design Principles. (2-3). Credit 3. Study of systems engineering; project lifecycle; stakeholder, concept of operations (CONOPS) & requirements definition; cost assessment; risk management; trade studies; decomposition and design of an aerospace system; engineering ethics; technical communications. Prerequisite: Grade of C or better in AERO 306, AERO 307, AERO 321, and AERO 351, or concurrent enrollment.",
AERO,402,"Aerospace Systems Design. (0-6). Credit 2. Continuation of AERO 401; detailed design; subsystem integration; realization of the system through prototyping, modeling, and/or simulation; verification and validation through experimentation and analysis; documentation and presentation of results. Prerequisite: Grade of C or better in AERO 306, AERO 307, AERO 321, AERO 351, and  AERO 401.",
AERO,404,"Mechanics of Advanced Aerospace Structures. (3-0). Credit 3. Advanced analysis techniques for aerospace structures; material anisotropy, plasticity, fatigue and fracture; laminated materials; solution of plane elasticity, plate and multi-component structural configurations; buckling of beams and plates; application of finite element analysis. Prerequisites: Grade of C or better in AERO 304 and junior or senior classification.",
AERO,413,"Aerospace Materials Science. (3-0). Credit 3. Relationship between aerospace engineering material properties and microstructure; mechanical and thermal properties; environmental degradation; mechanical failure. Prerequisite: Grade of C or better in AERO 304.",
AERO,414,"Human Performance in Aerospace Environments. (3-0). Credit 3. Current physiological and psychological aspects affecting human performance during space missions using a quantitative approach and engineering methods.  Prerequisite: Grade of C or better in AERO 321.",
AERO,415,"Computational Fluid Dynamics for Aerospace Applications. (3-0). Credit 3. Present methods for solving internal and external flow problems for inviscid and viscous compressible flow; Euler, Navier-Stokes and Large Eddy Simulation solvers, boundary conditions formulation, and basics of parallel processing. Prerequisite: Grade of C or better in AERO 303 and AERO 351.",
AERO,422,"Active Controls for Aerospace Vehicles. (3-0). Credit 3. Introduction to the Theory of Automatic Control specifically applied to aerospace vehicles; techniques for analysis and synthesis of linear control systems, stability criteria, systems response and performance criteria; design studies of active controls to improve aerospace vehicle performance. Prerequisite: Grade of C or better in AERO 321.",
AERO,423,"Orbital Mechanics. (3-0). Credit 3. Two-body problem, restricted three-body problem, orbital perturbations, orbital maneuvers, interplanetary trajectories, orbit determination and other selected topics. Prerequisite: Grade of C or better in AERO 310.",
AERO,423,"Orbital Mechanics. (3-0). Credit 3. Two-body problem, restricted three-body problem, orbital perturbations, orbital maneuvers, interplanetary trajectories, orbit determination and other selected topics. Prerequisite: Grade of C or better in AERO 310.",
AERO,424,"Spacecraft Attitude Dynamics and Control. (3-0). Credit 3. Introduces fundamental concepts of satellite attitude dynamics and control; includes derivations of environmental disturbances due to gravity gradient, aerodynamic, and solar radiation pressure; includes treatments of attitude control subsystems, such as thrusters, reaction wheels, CMGs, and magnetic torquers, and their designs. Prerequisites: Grade of C or better in AERO 321.",
AERO,430,"Numerical Simulation. (3-0). Credit 3. Numerical and analytical simulation of physical problems in sciences and engineering using applied methods; developing and using numerical techniques for physical problems described by nonlinear algebraic equations, ordinary and partial differential equations. Prerequisite:Grade of C or better in AERO 222 or MATH 417.",
AERO,436,"Human Factors Engineering for Aerospace Designs. (3-0). Credit 3. Physiological and psychophysiological issues encountered in aviation and space environments and their effect on human cognitive and physical performance; survey methods for human workload and performance evaluations; apply human-systems design principles to an aerospace design project. Prerequisites: Junior or senior classification. Cross-listed with ISEN 432.",
AERO,451,"Human Spaceflight Operations. (3-0). Credit 3. Essential aspects of human spaceflight operations as performed by NASA; in-depth understanding of the state-of-the-art in spacecraft operations, including spacecraft systems, ground and launch operations, mission management and on-orbit activities such as science, robotics, spacewalking and human health maintenance; applications to future space systems. Prerequisite: Grade of C or better in AERO 310 or equivalent; senior classification.",
AERO,451,"Human Spaceflight Operations. (3-0). Credit 3. Essential aspects of human spaceflight operations as performed by NASA; in-depth understanding of the state-of-the-art in spacecraft operations, including spacecraft systems, ground and launch operations, mission management and on-orbit activities such as science, robotics, spacewalking and human health maintenance; applications to future space systems. Prerequisite: Grade of C or better in AERO 310 or equivalent; senior classification.",
AERO,452,"Heat Transfer and Viscous Flows. (3-0). Credit 3. Navier-Stokes and boundary layer equations; exact and approximate solutions; laminar boundary layers; basic concepts of transition and turbulence; turbulent boundary layers; one and two dimensional heat transfer; methods for steady and transient heat conduction; thermal boundary layers; convection; radiation. Prerequisite: Grade of C or better in AERO 303 and AERO 351.",
AERO,452,"Heat Transfer and Viscous Flows. (3-0). Credit 3. Navier-Stokes and boundary layer equations; exact and approximate solutions; laminar boundary layers; basic concepts of transition and turbulence; turbulent boundary layers; one and two dimensional heat transfer; methods for steady and transient heat conduction; thermal boundary layers; convection; radiation. Prerequisite: Grade of C or better in AERO 303 and AERO 351.",
AERO,478,"Low Temperature Plasma - Theory, Modeling, Applications. (3-0). Credit 3. Basic theory and fundamentals of low-temperature plasma, elements of plasma kinetic theory, equilibrium and non-equilibrium plasma, modeling approaches, plasma discharges. Prerequisites: Grade of C or better in AERO 303 and MATH 308.",
AERO,489,"Special Topics in...  Credit 1 to 4. Selected topics in an identified field of aerospace engineering. May be repeated for credit. Prerequisite: Approval of instructor.",
AERO,489,"Special Topics in...  Credit 1 to 4. Selected topics in an identified field of aerospace engineering. May be repeated for credit. Prerequisite: Approval of instructor.",
AERO,491,"Research.  Credit 0 to 4. Research conducted under the direction of faculty member in aerospace engineering. May be repeated 3 times for credit. Prerequisites: Junior or senior classification and approval of instructor.",
AERO,602,"The Theory of Fluid Mechanics. (3-0). Credit 3. Entry-level theory of fluid mechanics with emphasis on viscous subsonic flows; governing principles and equations, exact solutions to simple problems of the Navier-Stokes equations, similarity solutions and boundary layer theory; flow stability, transition and turbulence. Prerequisite: Graduate classification and approval of instructor.",
AERO,615,"Computational Fluid Dynamics for Aerospace Applications. (3-0). Credit 3. Methods for solving internal and external flow problems; viscous and inviscid compressible flow, Euler, Navier-Stokes and Large Eddy Simulation solvers, boundary conditions. Prerequisite: MATH 601 or approval of instructor.",
AERO,617,"Micromechanics. (3-0). Credit 3. Eigenstrains; inclusions, and inhomogeneities; Eshelbys solution for an ellipsoidal inclusion; Eshelbys equivalent inclusion method; effective elastic properties of composites; composite spheres and cylinders models; bounds on effective moduli; Hashin-Shtrikman bounds; applications to fiber, whisker and particulate reinforced composites; introduction to micromechanics of inelastic composites and solids with damage. Prerequisites: MEMA 602, or AERO 603, AERO 605. Cross-listed with MEMA 625.",
AERO,623,"Optimal Spacecraft Attitude and Orbital Maneuvers. (3-0). Credit 3. Application of optimization and optimal control techniques to spacecraft maneuver problems; computation of open loop and feedback controls for linear and nonlinear spacecraft dynamical systems; low-thrust and impulsive control, discretization methods, case studies. Prerequisite: AERO 423 or equivalent.",
AERO,630,"Introduction to Random Dynamical Systems. (3-0). Credit 3. Building on basic probability theory, course covers theory and applications of discrete and continuous random processes; particular attention shall be paid to the response of dynamical systems (discrete, linear and non-linear), to random input processes and their application to Engineering Systems. Prerequisite: Graduate classification.",
AERO,632,"Design of Advanced Flight Control Systems - Theory and Application. (3-0). Credit 3. Modeling, analysis, design and implementation of advanced flight control problems, specifically aerospace engineering applications; includes choice of controlled variables, reduction of controlled variables, design methodology, computational framework, implementation issues, and software environments using various toolboxes. Prerequisites: Graduate classification and approval of instructor.",
AERO,643,"High-Performance Computational Fluid Dynamics. (3-0). Credit 3. Numerical simulations of fluid dynamics problems on massively parallel computers; focus on Direct Numerical Simulations (DNS) where all dynamically relevant scales are resolved; elements of both high-performance computing (HPC) and numerical methods to solve incompressive and compressible flows. Prerequisite: AERO 615 or approval of instructor.",
AERO,666,"Systems Analysis. (3-0). Credit 3. Signals and systems; linear vector space analysis, inner product spaces, orthogonality, projection theorem, orthogonal polynomials, Fourier series and transform theory, dynamical systems, error analysis, estimation and control, linear operators, adjoints and introduction to optimization.   Prerequisite: Graduate classification or approval of instructor.",
AERO,670,"Turbulence Modeling. (3-0). Credit 3. Identification of physical features that render Navier-Stokes equation difficult to compute or model; includes Reynolds-averaged and filtered Navier-Stokes equations for unresolved stresses; development of closure models for pressure-strain correlation, dissipation and turbulent transport Reynolds; algebraic Reynolds stress modeling, Large Eddy Simulations (LES) and hybrid methods; validation and prediction studies. Prerequisites: AERO 640 and graduate classification or approval of instructor.",
AERO,681,"Seminar. (1-0). Credit 1. Selected research topics presented by the faculty, students and outside speakers. Prerequisite: Graduate classification.",
AERO,681,"Seminar. (1-0). Credit 1. Selected research topics presented by the faculty, students and outside speakers. Prerequisite: Graduate classification.",
AERO,689,"Special Topics in...  Credit 1 to 4. Selected topics in an identified area of aerospace engineering. May be repeated for credit. Prerequisite: Approval of instructor.",
AERO,689,"Special Topics in...  Credit 1 to 4. Selected topics in an identified area of aerospace engineering. May be repeated for credit. Prerequisite: Approval of instructor.",
AERS,102,"Air Force Heritage and Values II. (1-0). Credit 1. Continuation of AERS 101; introduction to the Department of the Air Force (DAF) and Air Force Reserve Officer Training Corps (AFROTC); overview of officership, officer opportunities and benefits, and DAF heritage and values and operations. Prerequisites: AERS 101; concurrent enrollment in AERS 106.",
AERS,106,"AFROTC Leadership Lab II. (0-2). Credit 1. Continuation of AERS 105; dynamic leadership development activities designed to prepare prospective Department of the Air Force second lieutenants and complement the AFROTC academics with experiential learning. May be taken four times for credit. Must be taken on a satisfactory/unsatisfactory basis. Prerequisites: AERS 105.",
AERS,202,"Team and Leadership Fundamentals II. (1-0). Credit 1. Continuation of AERS 201; fundamental survey of leadership and team building through topics such as followership, listening, ethical decision-making, and conflict management. Prerequisites: Grade of C or better in AERS 201; concurrent enrollment in AERS 106 if seeking a military contract; or approval of department head.",
AERS,304,"Leading People and Effective Communication II. (3-0). Credit 3. Continuation of AERS 303 with an in-depth look at leadership through topic-guided discussions and verbal communications in Department of the Air Force formats; leadership, management fundamentals, professional knowledge, Air Force personnel and evaluation systems, and leadership ethics with case studies of leadership and management situations as a means of demonstrating and exercising practical application of concepts. Prerequisites: Grade of C or better in AERS 303; concurrent enrollment in AERS 106 if seeking a military contract; or approval of department head.",
AERS,404,"National Security Affairs, Leadership Responsibilities, and Commissioning Preparation II. (3-0). Credit 3. Continuation of AERS 403; examination of the Constitution, national security processes, the militarys role in society, and the military justice system; prepares students for life as a second lieutenant in the Department of the Air Force. Prerequisites: Grade of C or better in AERS 403; concurrent enrollment in AERS 106 if seeking a military contract; or approval of department head.",
